Station Name,Timestamp,Duration,File Path
WNYC,2025-03-05 15:02:29,57,audio_dataset\WNYC_1741167091.mp3
NPR,2025-03-05 15:03:21,43,audio_dataset\NPR_1741167157.mp3
NPR,2025-03-05 15:04:12,45,audio_dataset\NPR_1741167206.mp3
NPR,2025-03-05 15:04:49,30,audio_dataset\NPR_1741167258.mp3
BBC World Service,2025-03-05 15:06:02,66,audio_dataset\BBC_World_Service_1741167296.mp3
WNYC,2025-03-05 15:07:20,71,audio_dataset\WNYC_1741167369.mp3
NPR,2025-03-05 15:08:01,34,audio_dataset\NPR_1741167447.mp3
KEXP,2025-03-05 15:09:07,62,audio_dataset\KEXP_1741167485.mp3
BBC World Service,2025-03-05 15:10:11,59,audio_dataset\BBC_World_Service_1741167552.mp3
WNYC,2025-03-05 15:11:20,63,audio_dataset\WNYC_1741167617.mp3
WNYC,2025-03-05 15:12:39,74,audio_dataset\WNYC_1741167684.mp3
NPR,2025-03-05 15:13:38,53,audio_dataset\NPR_1741167764.mp3
KEXP,2025-03-05 15:14:30,46,audio_dataset\KEXP_1741167824.mp3
BBC World Service,2025-03-05 15:15:33,51,audio_dataset\BBC_World_Service_1741167882.mp3
BBC World Service,2025-03-05 15:16:25,47,audio_dataset\BBC_World_Service_1741167937.mp3
NPR,2025-03-05 15:17:39,64,audio_dataset\NPR_1741167995.mp3
WNYC,2025-03-05 15:18:59,77,audio_dataset\WNYC_1741168062.mp3
KEXP,2025-03-05 15:19:52,38,audio_dataset\KEXP_1741168154.mp3
KEXP,2025-03-05 15:20:49,50,audio_dataset\KEXP_1741168199.mp3
WNYC,2025-03-05 15:22:17,84,audio_dataset\WNYC_1741168252.mp3
NPR,2025-03-05 15:22:58,37,audio_dataset\NPR_1741168341.mp3
WNYC,2025-03-05 15:24:31,86,audio_dataset\WNYC_1741168385.mp3
KEXP,2025-03-05 15:25:50,72,audio_dataset\KEXP_1741168478.mp3
KEXP,2025-03-05 15:26:32,36,audio_dataset\KEXP_1741168556.mp3
KEXP,2025-03-05 15:27:17,41,audio_dataset\KEXP_1741168596.mp3
NPR,2025-03-05 15:33:49,32,audio_dataset\NPR_1741168996.mp3
KEXP,2025-03-05 15:34:46,52,audio_dataset\KEXP_1741169034.mp3
BBC World Service,2025-03-05 15:35:51,58,audio_dataset\BBC_World_Service_1741169091.mp3
BBC World Service,2025-03-05 15:36:40,46,audio_dataset\BBC_World_Service_1741169154.mp3
KEXP,2025-03-05 15:37:47,60,audio_dataset\KEXP_1741169206.mp3
